,State or Region Code,Population
0,PR,3193694.0
1,WV,1792147.0
2,VI,104914.0
3,IL,12671821.0
4,VT,623989.0
5,CT,3565287.0
6,AS,55641.0
7,MS,2976149.0
8,NY,19453561.0
9,RI,1059361.0
10,PA,12801989.0
11,MI,9986857.0
12,NJ,8882190.0
13,ME,1344212.0
14,OH,11689100.0
15,NM,2096829.0
16,KS,2913314.0
17,WI,5822434.0
18,MP,55194.0
19,MO,6137428.0
20,LA,4648794.0
21,AL,4903185.0
22,WY,578759.0
23,KY,4467673.0
24,AK,731545.0
25,NH,1359711.0
26,AR,3017825.0
27,IA,3155070.0
28,IN,6732219.0
29,GU,165718.0
30,HI,1415872.0
31,MD,6045680.0
32,MA,6949503.0
33,OK,3956971.0
34,NE,1934408.0
35,CA,39512223.0
36,MN,5639632.0
37,VA,8535519.0
38,TN,6833174.0
39,MT,1068778.0
40,DE,973764.0
41,SD,884659.0
42,GA,10617423.0
43,NC,10488084.0
44,OR,4217737.0
45,SC,5148714.0
46,WA,7614893.0
47,ND,762062.0
48,AZ,7278717.0
49,ID,1787065.0
50,NV,3080156.0
51,FL,21477737.0
52,CO,5758736.0
53,TX,28995881.0
54,UT,3205958.0
55,DC,705749.0
59,US,331814684.0
